Point,up_downstream,Dist,WellNo,x,y,DistSign,EC_1389_before_drainge_depth50_100cm_tir,EC_1389_before_drainge_depth_200_250cm_tir,EC_1391_after_drainge_depth__50_100cm_tir,cl_before_1389_tir,na_before_1389_tir,cl_after_1391_tir,na_after_1391_tir,SAR89_before_50-100cm_tir,SAR89_before_200-250cm_tir,SAR91_after_50-100cm_tir,watlevel_aban89,watlevel_aban90,watlevel_aban91,watlevel_aban92
F,U,500,F-U6,447823.4,3978662.2,500,95.29,117.3,-,-,-,-,-,50.2,57.2,-,208,212,197,189
F,U,250,F-U5,447667.4,3978466.9,250,-,120.7,97.24,1600,1350,1398,950,65.2,54.2,51,202,194,171,182
F,U,100,F-U4,447573.7,3978349.7,100,117.1,127.2,98.6,1500,1200,1397,900,47,52,45,190,200,177,198
F,U,50,F-U3,447542.5,3978310.6,50,53.4,-,-,-,-,-,-,37,-,-,200,210,203,212
F,U,25,F-U2,447526.9,3978291.1,25,102.7,-,-,-,-,-,-,53,11,-,221,225,217,210
F,U,10,F-U1,447517.6,3978279.4,10,106,85.48,-,-,-,-,-,55,38,-,237,242,219,210
F,mid,0,F,447511.3,3978271.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
F,D,10,F-D1,447505.1,3978263.8,-10,68.2,73.66,-,-,-,-,-,52,122,-,235,240,235,265
F,D,25,F-D2,447495.7,3978252,-25,127.7,110.2,-,-,-,-,-,65,-,-,210,224,220,258
F,D,50,F-D3,447480.1,3978232.5,-50,81.27,-,-,-,-,-,-,47,-,-,209,224,220,216
F,D,250,F-D4,447355.2,3978076.3,-250,129.8,113.9,,400,525,400,450,52.3,56.1,-,183,200,185,208
G,U,1000,G-U7,450924.7,3975173.4,1000,42.6,68.48,41.73,400,525,400,450,81,125.2,45,227,330,224,205
G,U,500,G-U6,450472.3,3974960.5,500,54.8,81.81,48.76,400,670,497,575,98.7,124,66,198,296,187,203
G,U,250,G-U5,450246.1,3974854,250,79.72,103.9,-,-,-,-,-,118.8,137.2,-,198,208,198,226
G,U,100,G-U4,450110.4,3974790.2,100,45.53,95.55,21.15,300,500,198,212,91,136,27,239,248,224,250
G,U,50,G-U3,450065.2,3974768.9,50,91.5,97.7,-,-,-,-,-,26,146,-,259,250,244,260
G,U,25,G-U2,450042.6,3974758.2,25,41.8,76.17,-,-,-,-,-,18,138,-,258,256,234,268
G,U,10,G-U1,450029,3974751.8,10,56,48.52,-,-,-,-,-,70,73,-,280,297,263,275
G,mid,0,G,450019.9,3974747.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G,D,10,G-D1,450010.9,3974743.3,-10,90.84,-,-,-,-,-,-,145.5,-,-,270,279,265,283
G,D,25,G-D2,449997.3,3974736.9,-25,71.68,90.3,-,-,-,-,-,124.8,145.3,-,240,243,237,262
G,D,50,G-D3,449974.7,3974726.3,-50,72.38,100.6,-,-,-,-,-,124.8,144.4,-,240,244,240,261
G,D,250,G-D4,449793.7,3974641.1,-250,41.56,71.55,-,-,-,-,-,132.5,120,-,207,203,203,241
H,U,1000,H-U7,451538.4,3969455.5,1000,80.83,65.33,-,-,-,-,-,131.5,91,-,355,360,334,335
H,U,500,H-U6,451082.5,3969660.9,500,64.07,55.54,-,-,-,-,-,123.8,100.5,-,324,330,308,312
H,U,250,H-U5,450854.6,3969763.5,250,81.03,56.65,-,-,-,-,-,141.4,104.1,-,295,281,263,277
H,U,100,H-U4,450717.8,3969825.1,100,71.92,57.08,-,-,-,-,-,147,98,-,282,276,265,276
H,U,50,H-U3,450672.2,3969845.7,50,61.07,57.79,-,-,-,-,-,106,110,-,283,289,271,282
H,U,25,H-U2,450649.4,3969855.9,25,57.12,47.47,35.85,500,590,450,340,96,93,39,175,297,293,296
H,U,10,H-U1,450635.8,3969862.1,10,52.75,47.13,35.05,700,750,253,362,92,74,52,174,292,276,280
H,mid,0,H,450626.7,3969866.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H,D,10,H-D1,450617.5,3969870.3,-10,56.05,54.63,37.39,400,590,396,375,91,101.3,43,283,272,254,254
H,D,25,H-D2,450603.9,3969876.5,-25,61.84,46.21,63.99,700,750,797,700,115.7,97.2,79,279,291,279,282
H,D,50,H-D3,450581.1,3969886.7,-50,70.04,52.75,-,-,-,-,-,125.2,99.5,-,275,290,282,289
H,D,250,H-D4,450398.7,3969968.9,-250,92.73,68.73,-,-,-,-,-,135.8,96.2,-,283,270,260,276
I,U,1000,I-U7,449807.8,3965664.5,1000,98.61,64.83,-,-,-,-,-,172.6,160.3,-,237,220,243,243
I,U,500,I-U6,449352.1,3965870.2,500,109.3,110.9,-,-,-,-,-,168.1,159.6,-,204,197,222,213
I,U,250,I-U5,449124.2,3965973,250,79.26,86.25,-,-,-,-,-,120.6,132.4,-,223,221,232,250
I,U,100,I-U4,448987.5,3966034.7,100,86.56,63.98,52.22,1100,1100,604,575,133,98,65,227,229,250,271
I,U,50,I-U3,448941.9,3966055.2,50,109.2,118.1,-,-,-,-,-,152,155,-,250,253,276,292
I,U,25,I-U2,448919.1,3966065.5,25,109.1,100.1,-,-,-,-,-,144,138,-,243,262,280,285
I,U,10,I-U1,448905.5,3966071.7,10,104.8,107.3,59.28,1200,1350,750,650,153,144,65,260,276,259,261
I,mid,0,I,448896.3,3966075.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
I,D,10,I-D1,448887.2,3966079.9,-10,58.17,91.56,-,-,-,-,-,72.9,114.7,-,346,344,265,270
I,D,25,I-D2,448873.5,3966086.1,-25,84.11,99.97,-,-,-,-,-,114.7,131.7,-,250,273,286,293
I,D,50,I-D3,448850.8,3966096.4,-50,44.88,99.5,-,-,-,-,-,80.2,128.7,-,211,310,272,283
I,D,250,I-D4,448668.5,3966178.6,-250,132.3,88.13,-,-,-,-,-,162.4,120.4,-,180,200,218,228
